Name,Address,City,Latitude,Longitude,Description
KB Pigalle,53 Avenue Trudaine 75009 Paris,Paris,48.8818,2.3404,Specialty coffee - espresso filter cold brew
Ten Belles,10 Rue de la Grange aux Belles 75010 Paris,Paris,48.8737,2.3647,Specialty coffee and pastries
Kott Cafe,19 Rue Ternaux 75011 Paris,Paris,48.8640,2.3700,Espresso filter cold brew
Belleville Brulerie,14b Rue Lally-Tollendal 75019 Paris,Paris,48.8850,2.3827,House-roasted beans roastery
Cafe Pigalle,7 Rue Frochot 75009 Paris,Paris,48.8820,2.3370,Third-wave specialty
ABC Zattere,Dorsoduro 1401 30123 Venezia,Venice,45.4290,12.3260,Specialty coffee - may be closed mid-Jan
Torrefazione Cannaregio,Fondamenta dei Ormesini 2804 30121 Venezia,Venice,45.4457,12.3279,Local roastery
Orsonero Coffee,Via Giuseppe Broggi 15 20129 Milano,Milan,45.4778,9.2111,Best specialty coffee in Milan
NOWHERE Future Coffee,Via Vetere 14 20123 Milano,Milan,45.4620,9.1790,Specialty coffee and brunch
Cafezal Brera,Via Solferino 27 20121 Milano,Milan,45.4730,9.1870,Brazilian roaster flagship
Ditta Artigianale,Corso Magenta 31 20123 Milano,Milan,45.4650,9.1720,Micro-roastery brunch cocktails
Loste Cafe,Via Guicciardini 3 Milano,Milan,45.4590,9.1750,Specialty coffee and pastries
